POKEDEX,POKEMON_ID,NAME,TOTAL_XP,NATURE,HP_IV,ATTACK_IV,DEFENSE_IV,SPEED_IV,ABILITY_ID,TRAINER_ID
1,1,Bulbasaur,1000,Modest,25,15,20,18,4,1
2,1,Ivysaur,3000,Calm,28,18,25,20,4,1
3,1,Venusaur,6000,Bold,31,20,31,22,4,2
4,1,Charmander,1000,Jolly,22,25,18,28,5,3
5,1,Charmeleon,3000,Adamant,26,30,20,25,5,4
6,1,Charizard,6000,Adamant,31,31,22,28,5,5
7,1,Squirtle,1000,Bold,24,18,28,20,6,5
8,1,Wartortle,3000,Relaxed,28,20,30,18,6,6
9,1,Blastoise,6000,Modest,31,15,31,25,6,7
25,1,Pikachu,3000,Timid,20,18,15,31,2,8
25,2,Pikachu,1000,Relaxed,1,31,9,6,11,8
26,1,Raichu,6000,Jolly,25,25,20,31,2,9
